
Name,Date,Price,ageMin,ageMax,Categories,Venue,Description,Status
SAT: Evidence-based Reading & Writing (9-12),05/20/2019,2312,14,16,"Enhance your comprehension, reasoning, revising and editing skills in a variety of content areas. Learn about the optional essay section. Work with test prep professionals to strengthen your use of text complexity, evidence-informed analyses, informational graphics and appropriate word choice. Use practice exams, directed feedback and get individualized support in specified areas.",College Prep & Study Skills,Portland State University,Confirmed - Final
The Art of Persuasion: Speech & Debate (7-10),05/20/2019,1812,13,15,"Gain the skills to engage in both formal and informal speech and debate by mastering the art of persuasion. Learn three key concepts that will put you on the winning side of any argument: assertion, reasoning, and evidence.",College Prep & Study Skills,Portland State University,Confirmed - Final
Speech Easy: Find Your Voice (6-8),05/20/2019,1812,12,15,"Learn effective speaking techniques in a supportive space. Explore spontaneous speaking skills and longer, crafted pieces. Learn how to speak clearly and to the point, and gain confidence in presenting in front of a group.",College Prep & Study Skills,Portland State University,Confirmed - Final
Study Skills (9-12),05/20/2019,1812,14,16,"Make the best use of your study time. Learn neuroscience-based techniques for studying more effectively, including note-taking, memorization and problem-solving. Explore new ways to approach analytical projects and practice techniques for test-taking and managing stress.",College Prep & Study Skills,Portland State University,Confirmed - Final
Debate & Policy in Action,05/20/2019,1612,14,16,"Research and debate a topic of national importance in depth, such as health care, immigration and international treaties. Learn logic, argumentation, speaking skills, and cross-examination techniques. Gain greater confidence in public speaking and learn about ways to compete in policy debate during the school year!",College Prep & Study Skills,Northwest Academy,Confirmed - Final
Tech Skills for Success in Middle School (6-8),05/20/2019,1712,12,15,"...with skills to learn and communicate in the digital age. Find accurate information and share your learning in both text and slide show format. Get the scoop on citing your sources. Find out about free apps, including fun keyboarding software.",College Prep & Study Skills; Computer Science & Technology,Central Catholic High School,Confirmed - Final
Tech Skills for Success in Elementary School (11-12),05/20/2019,1712,15,16,"...with skills to both learn and communicate in the digital age. Learn about how to use websites to find pictures, information and create slide shows. Through scavenger hunts and challenges, become familiar with word-processing and presentation tools. Learn about free apps and games to help you develop and polish your keyboarding skills.",College Prep & Study Skills; Computer Science & Technology,Central Catholic High School,Confirmed - Final
Tech Skills for Success in Elementary School (11-12),05/20/2019,1712,15,16,"...with skills to both learn and communicate in the digital age. Learn about how to use websites to find pictures, information and create slide shows. Through scavenger hunts and challenges, become familiar with word-processing and presentation tools. Learn about free apps and games to help you develop and polish your keyboarding skills.",College Prep & Study Skills; Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Tech Skills for Success in Middle School (6-8),05/20/2019,1712,12,14,"...with skills to learn and communicate in the digital age. Find accurate information and share your learning in both text and slide show format. Get the scoop on citing your sources. Find out about free apps, including fun keyboarding software.",College Prep & Study Skills; Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Writing the College Application Essay (12-12),05/20/2019,189,16,16,"What makes you unique? It's your voice, your history and your point of view. Learn how these qualities enhance your writing. Read and comment on each other's essays in a writer?s workshop format. Consult individually with your instructor to create a top-notch personal essay.",College Prep & Study Skills; Writing,Portland State University,Confirmed - Final
Writing the College Application Essay (12-12),05/20/2019,189,16,16,"What makes you unique? It's your voice, your history and your point of view. Learn how these qualities enhance your writing. Read and comment on each other's essays in a writer?s workshop format. Consult individually with your instructor to create a top-notch personal essay.",College Prep & Study Skills; Writing,University of Portland,Confirmed - Final
Programming in Python for Beginners (11-7),05/20/2019,189,15,16,"Learn Python--a powerful, widely used, and versatile programming language--in this fun, hands-on class for new programmers. Design games like a MadLib, analyze interesting data, and explore mathematical concepts.",Computer Science & Technology,Central Catholic High School,Confirmed - Final
App Inventor (6-9),05/20/2019,1912,12,14,Develop your own Android app with MIT's App Inventor. Create interactive games with pictures and sounds. Learn event-driven and object-oriented programming concepts using this free drag-and-drop web-based program.,Computer Science & Technology,Central Catholic High School,Confirmed - Final
Arduino: Creative Programming & Circuit Design (8-12),05/20/2019,2112,14,16,"Use an Arduino? microcomputer to write computer code to control your own circuit. Discover how computer programming is used to interface with buttons, sensors, RGB LEDs, and displays. Continue exploring your curiosity at home with your Arduino kit.",Computer Science & Technology,Central Catholic High School,Confirmed - Final
Geek Chic: Computer Camp for Girls (6-8),05/20/2019,11119,12,14,"What do apps, video games, and robots have in common? Join other girls for a week of hands-on coding. Program an app, create a video game, and build a robot. Will your projects help, inspire and educate? Or will you focus on fun creations? Either way, you?ll enjoy being a chic geek!",Computer Science & Technology,St. Mary?s Academy,Confirmed - Final
Geek Chic: Computer Camp for Girls (11-12),05/20/2019,11119,15,16,"What do apps, video games, and robots have in common? Join other girls for a week of hands-on coding. Program an app, create a video game, and build a robot. Will your projects help, inspire and educate? Or will you focus on fun creations? Either way, you?ll enjoy being a chic geek!",Computer Science & Technology,St. Mary?s Academy,Confirmed - Final
Musical Electronics with Arduino (9-12),05/20/2019,2212,14,16,"Using an Arduino micro-controller, write creative code to control lights and speakers, triggered by sensors, buttons, or movement. Learn electronic fundamentals and explore how programming interfaces with the world. Create a laser harp, synthesizer, or an electronic ""disco ball."" Your project is yours to keep!",Computer Science & Technology,Portland State University,Confirmed - Final
Capture the Flag: Cybersecurity Games (8-12),05/20/2019,1912,14,16,"Develop and hone your cybersecurity skills in a fun, competitive environment. Secure your machine and hack into others' systems using principles such as networking, reverse engineering, and cryptography. Learn about and prepare for local CTF competitions.",Computer Science & Technology,Portland State University,Confirmed - Final
Web Development Camp (6-9),05/20/2019,3912,12,14,"Dive into designing and coding websites and simple web-based games! Get started in web development with HTML basics. Code your first webpage, then enhance it with CSS. Explore how Javascript, a fundamental web development language, can spice up a website while making quizzes, simple games and more!",Computer Science & Technology,Portland State University,Confirmed - Final
CyberAcademy: Hacker Defense Training (9-12),05/20/2019,3712,12,14,"In our expanding cyber world nothing is secure, only well-protected. Cybersecurity jobs are expected to grow 28% from 2016 to 2026. Dive into the world of cybersecurity as you practice applying concepts centered on HTTP protocol, authentication issues and other security issues. Train to recognize the vulnerability inherent in the web.",Computer Science & Technology,Portland State University,Confirmed - Final
Intro to Web Development (7 - 10),05/20/2019,189,13,15,"Gain confidence in HTML basics. Code a webpage and enhance it with CSS. Explore Bootstrap, an open source toolkit that can take your site to the next level. Use GitHub, a popular code-sharing platform, to deploy your About Me webpage and share it with the world.",Computer Science & Technology,Portland State University,Confirmed - Final
Game Making with Javascript (8-12),05/20/2019,1912,14,16,Program the classic arcade game Pong on day one of this class! Learn code to adapt your first game into other classics such as Brick Breaker and a simple version of Pitfall. Explore code that enables you to craft these games and other web apps.,Computer Science & Technology,Portland State University,Confirmed - Final
Intro to Web Development (7 - 10),05/20/2019,189,13,15,"Gain confidence in HTML basics. Code a webpage and enhance it with CSS. Explore Bootstrap, an open source toolkit that can take your site to the next level. Use GitHub, a popular code-sharing platform, to deploy your About Me webpage and share it with the world.",Computer Science & Technology,Portland State University,Confirmed - Final
Game Making with Javascript (8-12),05/20/2019,1912,14,16,Program the classic arcade game Pong on day one of this class! Learn code to adapt your first game into other classics such as Brick Breaker and a simple version of Pitfall. Explore code that enables you to craft these games and other web apps.,Computer Science & Technology,Portland State University,Confirmed - Final
Programming in C++: Level II (8-12),05/20/2019,1912,14,16,"Add to your C++ skills by exploring examples from local programming contests and selected puzzle projects. Learn about functions, strings, arrays of data and structures. Discover various methods used by computers to sort large quantities of data into order. What can you do in C++?",Computer Science & Technology,Portland State University,Confirmed - Final
Arduino: Creative Programming & Circuit Design (8-12),05/20/2019,2112,14,16,"Use an Arduino? microcomputer to write computer code to control your own circuit. Discover how computer programming is used to interface with buttons, sensors, RGB LEDs, and displays. Continue exploring your curiosity at home with your Arduino kit.",Computer Science & Technology,Portland State University,Confirmed - Final
3D Game Creation Camp (8-12),05/20/2019,3912,14,16,Create an open-world role playing game (RPG) with realistic terrain and lighting. Use Unity3D to create an explorable world with a character controller and interactable objects. Create 3D models and textures in Blender to add realism and intrigue to your gaming world.,Computer Science & Technology,Portland State University,Confirmed - Final
GameMaker Studio (6-9),05/20/2019,1912,12,15,"Design and modify your own 2D PC game in the style of classics like Zelda or Mario. Dive into character controls and level design with GameMaker Studio?s visual and intuitive drag-and-drop system. Control characters, objects and outcomes. Add features to increase the difficulty level.",Computer Science & Technology,Portland State University,Confirmed - Final
Programming in C: Level I (6-8),05/20/2019,1912,12,15,"Write a variety of computer programs. Explore data types, input/output statements, conditional statements, arrays, structures and file manipulation. Get ready for more advanced programming languages like C++, JavaTM and Perl.",Computer Science & Technology,Portland State University,Confirmed - Final
Programming in Python® (7-10),05/20/2019,2112,13,15,"Learn Python, a powerful, widely used, and versatile programming language, in this fun, hands-on class for new programmers. Design games, analyze interesting data, and explore mathematical concepts. Topics include data types and structures, control flow, functions, input and output, object-oriented and event-driven programming.",Computer Science & Technology,Portland State University,Confirmed - Final
Game Making Team (7-10),05/20/2019,1912,13,15,"Develop a game in teams of 2-11 with assigned roles as programmer, artist, or musician. Brainstorm ideas, create characters, backgrounds and animations. Compose songs, sound effects and program a game framework.",Computer Science & Technology,Portland State University,Confirmed - Final
Artificial Intelligence: An Introduction (8-10),05/20/2019,2212,6,15,"Discover how machine learning (ML) works and what effects it could have on humanity in a fascinating hands-on class. Through experiments, explore how artificial intelligence is used to make decisions. Learn how ML?s common uses?self-driving cars, medical diagnostics, facial recognition, and warfare?are changing the world.",Computer Science & Technology,Portland State University,Confirmed - Final
CyberSecurity Training (6-8),05/20/2019,189,12,14,"Develop your security awareness by recognizing phishing and sniffing, and understanding password-cracking techniques. Learn to identify malicious websites and practice security concepts in the form of fun-filled games.",Computer Science & Technology,Portland State University,Confirmed - Final
Programming in C++: Level I (7-10),05/20/2019,1912,13,15,"Use the open-source version of C++ to program games, solve puzzles and create text art. Exchange information to and from files on the hard drive, use data types and control repetition. Practice debugging and troubleshooting to make programs and games more sophisticated and interactive.",Computer Science & Technology,Portland State University,Confirmed - Final
Virtual Reality Worlds (9-12),05/20/2019,229,14,16,"Imagine, design and build a scene in Virtual Reality. Use digital 3D models, scripts, images, lights and cameras to assemble a world of your own inside a computer -- and then experience it first-hand through your own Google Cardboard VR viewer!",Computer Science & Technology,Portland State University,Confirmed - Final
Blender: Intro to 3D Modeling (6-8),05/20/2019,189,12,14,"Create game-ready 3D models and environments using Blender, a free, open-source, 3D modeling and animation tool. Imagine and sketch your ideal hangout space complete with furniture, characters or pets. Use polygon modeling tools to bring depth to your design, work with textures and texture maps to make your object look true to life and light your scene to maximize its impact on the viewer.",Computer Science & Technology,Portland State University,Confirmed - Final
Artificial Intelligence Academy (10-12),05/20/2019,11212,11,16,Learn how to develop machine learning systems in this hands-on Python class using Jupyter Notebook and Raspberry Pi. Explore computer vision and artificial intelligence in cases from cancer cells to autonomous vehicles. Use Python to analyze data and graph results.,Computer Science & Technology,Portland State University,Confirmed - Final
Pixel Art: Intro to Sprites (12-9),05/20/2019,179,15,16,"Explore basic animation theory and learn to animate walk cycles, jumps and action moves. Experiment with different perspective projections and methods of spriting to create a small portfolio of images that can be used in your own games.",Computer Science & Technology,Portland State University,Confirmed - Final
Drone Technology (6-9),05/20/2019,2312,12,14,"Take to the skies and learn to build and pilot a drone. Become familiar with drone ethics and laws and learn how drones are utilized in the real world--from wedding photography to emergency rescues. Immerse yourself in engineering, flight skills and aerial photography.",Computer Science & Technology,University of Portland,Confirmed - Final
Programming in Scratch 3.0 (3-12),05/20/2019,1812,8,16,"Build interactive cartoons, greeting cards and even basic games using Scratch, a free drag-and-drop programming tool. Dream up, design and program scenes like a zoo full of animals or a race track with your choice of cars. Add your own pictures and sounds to the project you design.",Computer Science & Technology,University of Portland,Confirmed - Final
Musical Electronics with Arduino (9-12),05/20/2019,2212,15,16,"Using an Arduino micro-controller, write creative code to control lights and speakers, triggered by sensors, buttons, or movement. Learn electronic fundamentals and explore how programming interfaces with the world. Create a laser harp, synthesizer, or an electronic ""disco ball."" Your project is yours to keep!",Computer Science & Technology,University of Portland,Confirmed - Final
App Inventor (6-9),05/20/2019,1912,15,16,Develop your own Android app with MIT's App Inventor. Create interactive games with pictures and sounds. Learn event-driven and object-oriented programming concepts using this free drag-and-drop web-based program.,Computer Science & Technology,University of Portland,Confirmed - Final
Programming in C: Level I (9-12),05/20/2019,1912,14,16,"Write a variety of computer programs. Explore data types, input/output statements, conditional statements, arrays, structures and file manipulation. Get ready for more advanced programming languages like C++, JavaTM and Perl.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
GameMaker Studio (6-9),05/20/2019,1912,12,14,"Design and modify your own 2D PC game in the style of classics like Zelda or Mario. Dive into character controls and level design with GameMaker Studio?s visual and intuitive drag-and-drop system. Control characters, objects and outcomes. Add features to increase the difficulty level.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Build A Computer (6-8),05/20/2019,1912,12,14,"Learn the basic hardware components of a computer to allow for the support of software. Install an operating system, remove viruses and prevent security issues. Build the best computer in a friendly competition for the final class.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
CyberSecurity Training (6-8),05/20/2019,1912,12,14,"Develop your security awareness by recognizing phishing and sniffing, and understanding password-cracking techniques. Learn to identify malicious websites and practice security concepts in the form of fun-filled games.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in Python® (7-10),05/20/2019,2112,13,15,"Learn Python, a powerful, widely used, and versatile programming language, in this fun, hands-on class for new programmers. Design games, analyze interesting data, and explore mathematical concepts. Topics include data types and structures, control flow, functions, input and output, object-oriented and event-driven programming.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Game Creation with Unity & C# (9-12),05/20/2019,1912,14,16,"Ever wonder how video games are made? Experience the process yourself with the Unity Game Engine. Start by setting up a scene with Unity's drag-and-drop component system, then learn how to write simple yet flexible scripts that will make your game unique.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in Scratch 3.0 (3-12),05/20/2019,1812,8,16,"Build interactive cartoons, greeting cards and even basic games using Scratch, a free drag-and-drop programming tool. Dream up, design and program scenes like a zoo full of animals or a race track with your choice of cars. Add your own pictures and sounds to the project you design.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in C++: Level I (7-10),05/20/2019,1912,13,15,"Use the open-source version of C++ to program games, solve puzzles and create text art. Exchange information to and from files on the hard drive, use data types and control repetition. Practice debugging and troubleshooting to make programs and games more sophisticated and interactive.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in Python for Beginners (11-7),05/20/2019,189,15,16,"Learn Python--a powerful, widely used, and versatile programming language--in this fun, hands-on class for new programmers. Design games like a MadLib, analyze interesting data, and explore mathematical concepts.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in Python® (7-10),05/20/2019,2112,13,15,"Learn Python, a powerful, widely used, and versatile programming language, in this fun, hands-on class for new programmers. Design games, analyze interesting data, and explore mathematical concepts. Topics include data types and structures, control flow, functions, input and output, object-oriented and event-driven programming.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in Python for Beginners (11-7),05/20/2019,189,15,16,"Learn Python--a powerful, widely used, and versatile programming language--in this fun, hands-on class for new programmers. Design games like a MadLib, analyze interesting data, and explore mathematical concepts.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in Java?: Level I (6-9),05/20/2019,199,12,14,"Learn how to create fun, simple programs using basic concepts of object-oriented programming, including how to define a class, create an object and interact with its methods to solve a common problem.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in Python for Beginners (11-7),05/20/2019,189,15,16,"Learn Python--a powerful, widely used, and versatile programming language--in this fun, hands-on class for new programmers. Design games like a MadLib, analyze interesting data, and explore mathematical concepts.",Computer Science & Technology,Saturday Academy - Beaverton,Confirmed - Final
Programming in Scratch 3.0 (3-12),05/20/2019,1812,8,16,"Build interactive cartoons, greeting cards and even basic games using Scratch, a free drag-and-drop programming tool. Dream up, design and program scenes like a zoo full of animals or a race track with your choice of cars. Add your own pictures and sounds to the project you design.",Computer Science & Technology,German International School,Confirmed - Final
App Inventor (6-9),05/20/2019,1912,12,14,Develop your own Android app with MIT's App Inventor. Create interactive games with pictures and sounds. Learn event-driven and object-oriented programming concepts using this free drag-and-drop web-based program.,Computer Science & Technology,German International School,Confirmed - Final
Game Creation with Unity & C# (9-12),05/20/2019,1912,14,16,"Ever wonder how video games are made? Experience the process yourself with the Unity Game Engine. Start by setting up a scene with Unity's drag-and-drop component system, then learn how to write simple yet flexible scripts that will make your game unique.",Computer Science & Technology,Portland Community College - Southeast Campus,Confirmed - Final
Programming in C: Level I (7-10),05/20/2019,1912,13,15,"Write a variety of computer programs. Explore data types, input/output statements, conditional statements, arrays, structures and file manipulation. Get ready for more advanced programming languages like C++ and Java.",Computer Science & Technology,Portland Community College - Southeast Campus,Confirmed - Final
Programming in Java?: Level I (6-9),05/20/2019,199,12,14,"Learn how to create fun, simple programs using basic concepts of object-oriented programming, including how to define a class, create an object and interact with its methods to solve a common problem.",Computer Science & Technology,Portland Community College - Southeast Campus,Confirmed - Final
Programming in Python® (7-10),05/20/2019,2112,14,16,"Learn Python, a powerful, widely used, and versatile programming language, in this fun, hands-on class for new programmers. Design games, analyze interesting data, and explore mathematical concepts. Topics include data types and structures, control flow, functions, input and output, object-oriented and event-driven programming.",Computer Science & Technology,Portland Community College - Southeast Campus,Confirmed - Final
